"gene","T3b-pathologic_T","T3c-pathologic_T","T3c-T3b","T4-pathologic_T","T4-T3b","T4-T3c","TX-pathologic_T","TX-T3b","TX-T3c","TX-T4","mean-pathologic_T","mean-T3b","mean-T3c","mean-T4","mean-TX","SEM-pathologic_T","SEM-T3b","SEM-T3c","SEM-T4","SEM-TX","Q1-pathologic_T","Q1-T3b","Q1-T3c","Q1-T4","Q1-TX","Q3-pathologic_T","Q3-T3b","Q3-T3c","Q3-T4","Q3-TX"
"ZNF195",0.436322664999298,0.983210093977811,0.780332137958118,0.92718313419212,0.522302547975191,0.999999837548977,0.784531083238691,0.346917479455258,0.999473655635312,0.9993291389763,325.103954316547,430.407316666667,244.0129,238.66785,203.4586,8.93318167735418,86.3082457611532,NA,23.39465,140.2686,230.31765,303.770525,244.0129,226.970525,133.3243,385.6229,547.5617,244.0129,250.365175,273.5929
"ZNF263",0.862829070468542,0.959293466758086,0.849643779313685,0.563918434759345,0.928597033597426,0.608725542145222,0.999351080678523,0.998346798556192,0.957205537417506,0.897146462789995,734.782047122302,808.548616666667,609.7087,928.2587,764.77775,10.9079740998014,77.6031488858685,NA,158.1995,15.38305,595.24935,706.39455,609.7087,849.15895,757.086225,840.4459,826.34275,609.7087,1007.35845,772.469275
"ZNF200",0.998928934972837,0.999999895142696,0.999992137908708,0.948075435483908,0.986760969795106,0.994329765003874,0.978100361153009,0.996003627097689,0.997880668464891,0.999965479256005,172.799828776978,178.269333333333,174.11,199.00855,193.43005,3.02522427146711,17.2999468693725,NA,34.03955,13.37675,140.267225,148.14705,174.11,181.988775,186.741675,199.390575,191.3558,174.11,216.028325,200.118425
"ZNF582",0.854940567535225,0.998520209457292,0.966908225310768,0.849423986268164,0.995799784741671,0.923967864828727,0.92435180250648,0.74073753929154,0.99925476093258,0.6911182113605,28.8711881294964,21.9876166666667,33.657,16.8901,38.57185,1.00144857152353,7.50316134179084,NA,1.0902,2.78955,17.7987,9.586675,33.657,16.345,37.177075,35.752375,35.767575,33.657,17.4352,39.966625
"ZNF285",0.13272931276839,0.988026626837708,0.992146112381834,0.976459670595624,0.43548160220848,0.945693939619178,0.991657980767287,0.931030504218306,0.999904505856708,0.947763242729028,51.8494942446043,17.37515,34.3042,66.7479,40.5499,2.15330449692274,6.20113164009871,NA,21.7972,7.0329,29.491025,5.351625,34.3042,55.8493,37.03345,69.591275,26.082825,34.3042,77.6465,44.06635
"ZNF275",0.91662871240389,0.999300881563766,0.999974737660513,0.89925097249317,0.996771620505965,0.997611449951757,0.906009331319609,0.997313444601677,0.997906688046408,0.999999993119971,422.90408705036,334.197833333333,362.4595,261.4156,264.77275,15.4472128936365,42.1719358814814,NA,8.28849999999998,40.13775,269.55715,261.237875,362.4595,257.27135,244.703875,492.001225,377.280475,362.4595,265.55985,284.841625
"ZNF37A",0.999691441643943,0.999689304415474,0.999099574241723,0.835213557063806,0.927745308439206,0.941189290927181,0.222771562808953,0.30759775894613,0.827203720900206,0.171500963760384,318.79050971223,330.641733333333,289.9676,429.13425,96.5377,8.85170895294851,95.8866720756041,NA,41.04995,31.8251,220.301175,184.9587,289.9676,408.609275,80.62515,404.45335,446.51485,289.9676,449.659225,112.45025
"ZNF510",0.997685634325328,0.999999974602942,0.999971585994249,0.998385727562948,0.993643754698262,0.999738734500291,0.431303044005348,0.469377407263341,0.853418185553763,0.853677058906965,186.840991007194,197.7681,188.3495,169.70195,86.98525,4.85774552537608,55.1012138135389,NA,103.17495,14.27875,133.5272,148.5083,188.3495,118.114475,79.845875,225.22625,204.06555,188.3495,221.289425,94.124625
"ZNF506",0.998313523504416,0.99463410317108,0.999036795289965,0.935171096112188,0.984049181825892,0.999939671176368,0.795378094696353,0.922892293582538,0.997631404583892,0.999271774027727,342.204774820144,325.635216666667,288.0259,266.81665,234.38175,8.15231601570948,54.7295970345505,NA,18.23935,67.27095,257.0881,316.87005,288.0259,257.696975,200.746275,408.867925,411.187475,288.0259,275.936325,268.017225
"ZNF324",0.899389407283498,0.973475058311108,0.894198923298903,0.999879933360108,0.977477390656686,0.993998399847755,0.98856183157107,0.999999851542487,0.936050860146495,0.991273360403329,147.70835323741,131.785383333333,174.11,152.36625,132.7877,2.59939676804298,14.4788927125987,NA,16.16565,40.7943,120.993725,101.82985,174.11,144.283425,112.39055,172.31245,161.364775,174.11,160.449075,153.18485
