"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-N3-N0","p-adj-N3-N1","p-adj-N3-N2","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","count-N0","count-N1","count-N2","count-N3","count-NX"
"ZNF195",0.0625220530207456,0.29774992538467,0.874570879164402,0.999748800513354,0.839524476440987,0.981352413568965,0.898172304387934,0.0749780002330671,0.268948690555981,0.972086314750277,448.089942253521,333.267036842105,381.013833333333,431.92785,493.00767037037,18.9127928400567,22.9226985719735,18.26930707338,138.257910910421,46.0795718578147,253.112,242.727675,260.1935,185.4071,283.2904,548.926,427.8335,469.39165,435.864875,614.46505,213,38,66,8,27
"ZNF263",0.895196453513924,0.548717439237981,0.355108473322876,0.324705194832875,0.666180701555229,0.120238643813461,0.687282100875553,0.439550704564447,0.999380907063023,0.130750246527879,617.456956338028,644.384163157895,581.191604545455,732.5551875,572.316251851852,12.1164986533737,27.7362867642564,17.6182973733007,86.0165594302994,25.7956497896025,489.0342,521.077475,484.603425,561.98555,469.35225,724.7327,764.66155,670.88405,910.452375,631.59895,213,38,66,8,27
"ZNF200",0.996767793663761,0.776569584527432,0.805331084918533,0.242884387931351,0.409107699487373,0.114918375865641,0.91945715406377,0.992659112000429,0.589445421944884,0.61944423623311,233.028571361502,237.850178947368,220.297383333333,290.868325,246.374740740741,5.5506186552407,14.836255263916,7.44782057133682,24.3360321357678,14.6356500447951,182.6376,173.149425,173.396675,249.5699,194.64835,272.2833,270.942325,264.671475,325.208825,306.09505,213,38,66,8,27
"ZNF582",0.674651358182366,0.876089472843036,0.988373925417099,0.99832201536686,0.997532454676195,0.999993338567363,0.985898017219495,0.66268695738474,0.833116029755526,0.984686568566775,31.1632737089202,25.5571078947368,27.9449621212121,28.6058625,33.6847,1.60161001209506,4.19110971723279,2.92409668047077,7.55667025495493,5.25026832131306,12.0846,9.019,11.26995,16.38795,7.5675,46.217,35.96895,39.478475,43.91665,48.27685,213,38,66,8,27
"ZNF285",0.9725049241399,0.21026459616877,0.26557489361709,0.774507294387249,0.658700162918756,0.997880667679891,0.291436276888457,0.260374885374711,0.992607377368154,0.999998984388021,67.2316276995305,59.6252210526316,88.2606166666667,96.5084125,95.2110925925926,3.80060637376619,7.34026096861098,12.8808818866135,37.7609464094871,16.308378514531,25.9883,28.95515,26.036375,45.459175,36.05555,89.7359,89.36885,97.523225,89.31405,144.16345,213,38,66,8,27
"ZNF275",0.999978983003535,0.995504586275653,0.999770131429514,0.901659257770756,0.937226018867086,0.954220425694159,0.998302400683211,0.997999444868221,0.987277515539478,0.879425536130514,456.215288262911,452.386473684211,444.313487878788,385.4357375,469.654288888889,16.4287551663576,33.8094271154642,19.9827088810605,68.8971069454867,42.5008384520607,298.5849,285.43155,342.259275,246.56905,301.5259,541.9564,565.081225,521.369225,517.95065,546.37565,213,38,66,8,27
"ZNF37A",0.999250902300318,0.11464793500909,0.589352334280108,0.990740632824026,0.983639080439049,0.659922763081681,1.19297341225622e-05,0.00136048864596428,0.029395046905016,0.0304511442796216,342.844335211268,349.752784210526,398.123277272727,315.8736,507.100418518518,10.0788139859626,29.3000483394718,14.6403337774386,84.194673317641,54.3952959750355,231.1003,220.2224,315.26775,165.400575,302.25845,407.2612,433.1423,476.6857,336.958575,653.3585,213,38,66,8,27
"ZNF510",0.720902231076297,0.992305158830771,0.637239353883549,0.999985239019839,0.988836265599163,0.999116876735699,0.060444139692264,0.0210953688045065,0.214741754473769,0.604965004313674,173.26314741784,155.751486842105,178.170212121212,170.6939,216.6094,5.6030713010648,8.88668022750453,7.78308540360753,22.3988070778015,23.0664531594764,120.8127,113.305725,133.01185,130.200525,129.3091,202.7668,187.194725,209.067925,198.060375,291.72295,213,38,66,8,27
"ZNF506",0.00991820539759314,0.999882756922374,0.0284113613372263,0.98486706224304,0.85490538878323,0.980499064470573,0.718013742687773,0.00887406038481653,0.841145239191766,0.80301417924752,444.090670892019,300.082171052632,449.390409090909,397.0633375,508.032977777778,18.6621546184083,25.3032363955174,24.2861660253805,97.1997548057661,51.2990312848429,241.6891,192.679475,316.6633,227.11595,309.7461,601.1247,386.5165,592.40075,464.2602,641.66615,213,38,66,8,27
"ZNF324",0.503389699437165,0.989456394857686,0.431336565057526,0.780692255445695,0.384724687484072,0.887029173126167,0.018142570216201,0.630524597808069,0.0200991593754876,0.0731549814518537,194.070875586854,218.502031578947,188.224556060606,158.04305,249.123251851852,5.16563084928891,25.1974903717199,7.79235192007007,19.3305126425445,19.0796280658875,144.6373,151.784525,143.8619,117.229225,186.77335,225.7826,246.96825,219.3983,197.148575,293.0103,213,38,66,8,27
