"gene","p-adj-[Unknown]-[Not Evaluated]","p-adj-Negative-[Not Evaluated]","p-adj-Negative-[Unknown]","p-adj-Positive-[Not Evaluated]","p-adj-Positive-[Unknown]","p-adj-Positive-Negative","mean-[Not Evaluated]","mean-[Unknown]","mean-Negative","mean-Positive","SEM-[Not Evaluated]","SEM-[Unknown]","SEM-Negative","SEM-Positive","Q1-[Not Evaluated]","Q1-[Unknown]","Q1-Negative","Q1-Positive","Q3-[Not Evaluated]","Q3-[Unknown]","Q3-Negative","Q3-Positive","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.720418072886435,0.0187983607066647,0.994516895392055,0.140070014154077,0.130568151440593,0.000988062818962465,238.571830894309,204.479022222222,196.123863076923,286.382171428571,8.93364227675435,25.0712282222891,9.79049380967853,24.4877501699009,179.4374,182.2222,143.0305,218.6675,272.15805,237.7292,234.7989,360.6839,237.266563636364,216.176789807692,228.9811,195.71805,195.66725,256.8491,154.102325,261.126375,10.3791654038505,4.30429547785759,0.911113586737853,0.8547345173903,-0.134297171696208,-0.226451709883312,"HNSC"
"ZNF263",0.999886532610667,0.000963094007250698,0.317239805599678,0.947286441544836,0.980821022201658,0.264386663236305,722.560760162602,727.522533333333,598.591827692308,695.298485714286,19.6065814301012,134.201836558627,20.4008189545459,41.9680637786158,586.65765,528.6368,478.2035,531.026,817.2625,727.9138,676.9026,809.559,588.740272727273,644.037497307692,568.3472,617.3822,503.662575,683.2816,513.056925,741.4806,19.2676574953644,8.50096453527708,1.09392465088937,1.08627648733028,0.129513369271268,0.119391355565936,"HNSC"
"ZNF200",0.994134288892814,0.990846057226122,0.999381744056953,0.4813032433478,0.923391713416501,0.649760500410654,267.674870731707,260.092355555556,263.757810769231,238.634380952381,7.89466493052873,39.2067996332485,10.584425237033,12.7679675517952,197.4449,150,215.9962,205.5336,320.63255,331.2139,313.697,268.2688,161.845868181818,264.804867307692,158.6769,255.0566,134.984525,178.2414,207.918825,310.542225,6.1931834117933,3.55598403516756,1.63615463454532,1.60739590954953,0.710309105216764,0.68472531569387,"HNSC"
"ZNF582",0.976695351021766,0.663299796686445,0.999693830341946,0.999149667575272,0.972487435106414,0.843144956282055,8.44884390243902,9.74892222222222,10.0586246153846,8.15951904761905,0.861247800724716,3.87885211061847,1.05077786553451,1.72025037572219,3.0976,2.5316,3.8256,2.9683,9.20975,10.3734,16.1523,11.2202,24.5167181818182,9.35938576923077,21.6916,6.2757,15.4489,32.1235,3.2052,11.282175,1.87837875612217,0.436074236160618,0.381755245535749,0.289314757786424,-1.38928011427278,-1.78928817866355,"HNSC"
"ZNF285",0.817873282444518,0.382259269702979,0.998519825728505,0.507401663976278,0.999900674320661,0.987460229578366,17.1659162601626,10.0847777777778,11.4241661538462,9.47674285714286,2.67266508644214,4.57221683476461,1.25047778970656,2.37843845879293,3.4243,1.8987,3.6224,2.28,19.97525,7.2246,15.3777,8.8279,23.0243727272727,13.1557594230769,22.1659,7.181,12.95835,29.9892,3.313,16.7107,2.24723916894613,0.817151621412972,0.571384053711644,0.323966092060327,-0.807467321042463,-1.62608527367984,"HNSC"
"ZNF275",0.89454938129885,0.0247861935441893,0.225507351361598,0.917373061019621,0.752964701506417,0.66941018823719,360.64762601626,301.418933333333,466.690203076923,397.606514285714,21.5309601740193,46.3448965403689,32.7674093405556,49.886573994206,190.09405,256.6667,273.8852,213.3905,445.83615,351.9904,657.0213,507.0202,271.169859090909,422.554947692308,212.37515,368.028,179.750975,332.09445,244.42415,537.955475,24.6919516615655,10.9072432706947,1.55826664920989,1.73291460888903,0.639942127222866,0.793200565999806,"HNSC"
"ZNF37A",0.829534571009178,0.933717707329945,0.700189409948654,0.0294839606736452,0.0822285591607566,0.111473120815855,299.703104878049,228.680288888889,321.710133846154,458.53760952381,25.6752411854691,38.8103124300762,21.3249044118044,37.3748560136637,197.0101,149.2352,217.4063,334.6639,335.0609,271.519,382.6006,572.3337,325.433568181818,328.528931153846,337.2188,301.32665,260.210775,402.6773,216.46205,397.62955,16.4139662543146,8.66499707692465,1.00951150488046,0.893564208163958,0.0136573524122395,-0.162356695255153,"HNSC"
"ZNF510",0.999603947704835,0.120168478379904,0.714786688250244,1.71456654340929e-06,0.00775331797511902,0.00201955375765528,158.904102439024,156.679388888889,180.163233846154,236.925123809524,5.46348953392845,19.3753031336605,7.44187601476218,17.3592679621975,120.50355,123.5955,133.3789,166.8947,189.82515,211.5739,214.3365,289.3347,171.282993181818,185.284188846154,168.29165,175.6974,123.658975,207.98035,132.25195,221.441425,8.89046998695973,3.24103694046322,1.08174305810661,1.04400545125085,0.113357862551068,0.062129244926988,"HNSC"
"ZNF506",0.623405573098467,0.968236349626481,0.520604420074261,0.369569945261342,0.999774173137444,0.274783768985977,167.369590243902,125.572566666667,174.397623076923,128.99599047619,9.04139012385749,36.8804503963181,12.9916419361403,17.4011923357265,89.78035,67.3762,100.1993,68.0838,233.1012,148.686,253.629,168.0173,246.999822727273,159.407996923077,246.71335,148.062,206.4163,300.481925,74.69655,228.9245,10.2601148921627,4.67912995534408,0.645376968950657,0.600137771223162,-0.631786000442636,-0.736634362425863,"HNSC"
"ZNF324",0.588737936134738,0.197885747644757,0.982709069123132,0.0515518511213818,0.0460994662910748,0.00195815429539459,242.11725203252,208.836788888889,218.885123076923,288.629080952381,7.02388281714966,24.8338531089589,8.64030012826711,19.1919641752772,187.31625,151.9811,160.7368,225.5863,284.19205,262.0253,265.861,324.4452,239.172456818182,239.748343653846,243.46975,231.2504,200.042225,280.986425,186.425175,281.346025,8.72830144630759,3.5112297809354,1.00240783091551,0.949811629576159,0.00346959030197709,-0.0742866740994754,"HNSC"
