"gene","Stage I-Stage 0","Stage IA-Stage 0","Stage IA-Stage I","Stage IB-Stage 0","Stage IB-Stage I","Stage IB-Stage IA","Stage II-Stage 0","Stage II-Stage I","Stage II-Stage IA","Stage II-Stage IB","Stage IIA-Stage 0","Stage IIA-Stage I","Stage IIA-Stage IA","Stage IIA-Stage IB","Stage IIA-Stage II","Stage IIB-Stage 0","Stage IIB-Stage I","Stage IIB-Stage IA","Stage IIB-Stage IB","Stage IIB-Stage II","Stage IIB-Stage IIA","Stage III-Stage 0","Stage III-Stage I","Stage III-Stage IA","Stage III-Stage IB","Stage III-Stage II","Stage III-Stage IIA","Stage III-Stage IIB","Stage IIIA-Stage 0","Stage IIIA-Stage I","Stage IIIA-Stage IA","Stage IIIA-Stage IB","Stage IIIA-Stage II","Stage IIIA-Stage IIA","Stage IIIA-Stage IIB","Stage IIIA-Stage III","Stage IIIB-Stage 0","Stage IIIB-Stage I","Stage IIIB-Stage IA","Stage IIIB-Stage IB","Stage IIIB-Stage II","Stage IIIB-Stage IIA","Stage IIIB-Stage IIB","Stage IIIB-Stage III","Stage IIIB-Stage IIIA","Stage IIIC-Stage 0","Stage IIIC-Stage I","Stage IIIC-Stage IA","Stage IIIC-Stage IB","Stage IIIC-Stage II","Stage IIIC-Stage IIA","Stage IIIC-Stage IIB","Stage IIIC-Stage III","Stage IIIC-Stage IIIA","Stage IIIC-Stage IIIB","Stage IV-Stage 0","Stage IV-Stage I","Stage IV-Stage IA","Stage IV-Stage IB","Stage IV-Stage II","Stage IV-Stage IIA","Stage IV-Stage IIB","Stage IV-Stage III","Stage IV-Stage IIIA","Stage IV-Stage IIIB","Stage IV-Stage IIIC","Stage IVA-Stage 0","Stage IVA-Stage I","Stage IVA-Stage IA","Stage IVA-Stage IB","Stage IVA-Stage II","Stage IVA-Stage IIA","Stage IVA-Stage IIB","Stage IVA-Stage III","Stage IVA-Stage IIIA","Stage IVA-Stage IIIB","Stage IVA-Stage IIIC","Stage IVA-Stage IV"
"ZNF195",0.999997047121603,0.999999999512516,0.99999827296453,0.999889614160141,0.999999656310374,0.999329218514868,0.999999999976891,0.999781324930245,0.999998469625338,0.997789481966627,0.999999998779562,0.999881977064607,1,0.982433860006154,0.999996311866092,0.99999481307497,1,0.999987183441554,0.999997181712972,0.999643201601515,0.98835708246297,0.999999355438129,0.999999999890206,0.999999861934456,0.999886094414927,0.999899391493419,0.999814496269846,0.999999978199994,0.999999983174207,0.999999396228425,0.999999999999355,0.998960684514847,0.999988029378392,0.999999999750618,0.999981126649689,0.999999979619898,0.99998245113214,0.999999999980508,0.999945146484732,0.999999998378031,0.999301981909606,0.995663816578469,0.999999999780214,0.999999005760998,0.999934787915389,1,0.999447549579739,0.999999998766987,0.981886815645118,0.999999959996713,0.999999922465727,0.995555380641787,0.999604778670866,0.999998577250614,0.994822817586983,0.999947754144307,0.999999983032443,0.999889412938103,1,0.99880211191979,0.998658732216074,0.999999935213493,0.999995427740724,0.999911329836499,0.999999999971048,0.996535494169986,0.996347369122575,0.998437508186071,0.978992660491059,0.999985466486997,0.978638561008181,0.909963241470152,0.995891206258649,0.987164634723661,0.971876017654995,0.99953313292202,0.900938195570072,0.999992131989013
"ZNF263",0.993700484194814,0.937228024894207,0.999807531475106,0.999183031313804,0.999999731111959,0.992423277458168,0.997621897031072,0.999999999881836,0.999999999981235,0.999999740009604,0.994958469471654,0.999999999943185,0.994149521744005,0.999999979396221,0.999999993310997,0.992209854250161,1,0.998421121521579,0.999999087708853,0.999999999465243,0.99999999962633,0.991207925454353,1,0.999067990010913,0.999997835542936,0.999999999794734,0.999999994032566,1,0.974936972885649,0.999999868922263,0.999998843773272,0.999500182573958,1,0.999734041776905,0.99998874872776,0.999997099355479,0.993445531395236,1,0.999650467490002,0.999999689990467,0.999999999799496,0.999999999951352,1,1,0.999999554423896,0.985117529638898,0.999999999268048,0.999997109446413,0.999963015585252,1,0.999997414536776,0.999999954574323,0.999999991954105,1,0.999999997418516,0.999547040171864,0.999999924383896,0.997369928601767,1,0.999999783842447,0.999999996678474,0.999999873215116,0.999999693860658,0.999906248353293,0.99999992437973,0.999990310623108,0.51264117216965,0.663030318966669,0.984358611754492,0.449572998388617,0.998364706044369,0.372135648866487,0.462902740491697,0.4988922197768,0.791073501507045,0.611825320967727,0.81711345674727,0.601629783500236
"ZNF200",0.99999999898742,1,0.999990645846361,0.999993051997916,0.999977546278688,0.992571645369011,0.999998401636688,0.998770613269622,0.999988288528052,0.984537650169099,1,0.999634667683166,1,0.901767776033522,0.999965469999894,1,0.999999949964844,0.99999992172005,0.992603441051688,0.999628579957558,0.999930596444364,0.999999999987456,0.999999999786973,0.999998768373016,0.997836937008926,0.999327526209942,0.999287740932677,0.999999999973136,1,0.999440525255054,1,0.925217243962543,0.999992755836198,0.999999999890107,0.999918980099939,0.999507798035847,0.999998190870643,0.999997234522007,0.995689576293015,0.999999999997454,0.989234694027424,0.89082676344389,0.994992524065341,0.998940640096308,0.930765173601203,1,0.999999935803436,0.999999999742993,0.998005982312413,0.999879361846723,0.999999994950609,1,0.999999999737529,0.999999810769772,0.999106271182892,0.99999999999667,0.99999999999768,0.999999971809615,0.999952570867197,0.999745431449238,0.999999756362524,1,1,0.999997945177424,0.99999056731226,0.999999999998232,1,0.999999999959378,0.99999999876191,0.999956558565554,0.99988633017875,0.999999994486048,1,1,0.999999887422756,0.999990535702931,1,1
"ZNF582",0.999999999904275,1,0.999999527758713,0.999999999998916,0.999851645258028,0.99999999979996,1,1,0.999999999999028,0.999999998092767,0.999999894111444,0.883402085207925,0.999775638331131,0.999991416859006,0.999996867246765,0.999999990228447,0.95848930255197,0.999981724164666,0.999999895429224,0.999999422475549,0.999999996322579,0.999999970854642,0.944217160704458,0.999950213398798,0.999999294516723,0.999998776602192,0.999999999998509,1,0.999993027118362,0.785409398595951,0.995589219587329,0.999033281181386,0.999931767502951,0.999990277616447,0.999805116365416,0.999962447331741,1,0.999999998230246,0.999999999840171,0.999997123770535,1,0.95636870601391,0.990665798190262,0.98514668836019,0.886405221151964,0.999999999356973,0.998148061624127,0.999999769938067,0.999999999939562,0.999999921935627,0.999999993897149,1,0.999999999954479,0.999956181065895,0.999857533359121,1,0.999999999665182,0.999999999997311,0.999999910898289,1,0.998935327436719,0.999826291104807,0.999649655665632,0.989907733300407,1,0.999993465225161,0.999999970116046,0.99999999907695,0.999988920816454,0.999634040633518,0.999999999766043,0.967993420359629,0.986398559001507,0.981598810315274,0.912378166333052,0.999999192266226,0.997856274602684,0.999999737832546
"ZNF285",1,0.99999998692971,0.999994944314969,1,1,0.999997881320828,0.999999999999319,0.999999999998779,0.999999999999612,1,0.999993442178408,0.965268637619589,0.999999531491011,0.982420888145747,0.999999959321108,0.999998679870256,0.992070011507696,0.999999997413377,0.996413682247704,0.999999997232724,0.999999995177611,0.999951412967689,0.894216919742799,0.999951780697262,0.936183296217554,0.999999029449599,0.999999233032542,0.999921654963407,0.999991734642336,0.985578367788014,0.999999468538982,0.992054603780976,0.999999929863797,1,0.999999995849465,0.999999999151454,0.999999991698856,0.999986406553289,1,0.999995213422502,1,0.999950514522724,0.999999427645275,0.998239552693754,0.9999787537557,1,0.999999999996356,0.999999898042262,1,1,0.995047106045471,0.999325607008395,0.973241782018942,0.997753603377988,0.999999837770036,1,0.999999999990653,0.999977587245947,0.999999999965092,0.99999999965511,0.986070813461797,0.995908850853786,0.955557689263842,0.991033169659019,0.999958735867686,0.999999993337437,1,1,0.99999995275327,1,1,0.999718665112215,0.99995760141381,0.997894641284544,0.999764755551028,0.999999957127069,1,0.999999999952055
"ZNF275",0.999981072118552,0.999999999346118,0.99995886278144,0.999999803198994,0.999999784963931,0.999999997905355,0.999999648752337,0.986846351413711,0.999654778330569,0.997682690445538,0.999999999438959,0.996256767089716,1,0.999999352023069,0.999421592932341,0.999999997013589,0.998940735804139,1,0.999999969094085,0.999132826815591,0.99999999999676,1,0.931431842155759,0.999999365694455,0.998979895032275,0.999965240149988,0.999778655900703,0.9992602951134,0.999999999073692,0.999503522187503,1,0.999999963639568,0.999458022653532,1,1,0.999980484589573,0.99999999974285,0.999349146347231,1,0.999999874008953,0.999629254588327,1,1,0.999997649965213,1,0.999999982011754,0.999991632941967,0.999999999999654,0.999999999998373,0.998939926973972,0.999999999200052,0.999999999997954,0.999911252406367,0.999999999985432,0.999999999788408,0.999999998059021,0.999993098426292,1,0.999999999935224,0.999593487881451,1,1,0.999998962981885,1,1,1,0.999998073814041,0.759837111007987,0.988656486651752,0.93187502944468,1,0.95617348307234,0.943741668893408,0.996211740563501,0.970640887909831,0.980357360413575,0.962828073015003,0.989319774274382
"ZNF37A",0.999999935744555,1,0.99989469135417,0.99952871089248,0.998125243460538,0.904347967142349,0.999999999845472,1,0.999999994276187,0.999995616838653,0.999813081921297,0.997898834546704,0.854437727432273,0.999999996315347,0.999999419172629,0.99999991886404,1,0.999540387666555,0.986001528426999,1,0.895648343430124,1,0.999147203041837,1,0.627492615703913,0.999999998208312,0.108349703008989,0.975311199711131,0.999999981205803,1,0.999938515547326,0.990837314708799,1,0.975935233589401,1,0.999078265013532,0.999977053311617,0.99999431226792,0.982867236725691,0.999998909556667,0.999999986575751,0.999999986963275,0.999868435730754,0.854023503906598,0.9998982305558,0.999999363227493,0.999999999991026,0.999374628584748,0.999821073843878,0.9999999999972,0.999927439944853,0.999999999695885,0.995523307994333,0.999999996780706,0.999999972014199,0.99964619171283,0.999521373644929,0.958483373389846,1,0.999996465890371,0.999999999189955,0.997815454023923,0.875261976032727,0.99799940947168,0.99999972668531,0.999951430577247,0.999999999978548,0.998929362669527,0.999999998057034,0.87960196354346,0.999999235035471,0.858113173614379,0.997307802017739,0.999999774951258,0.999209579636871,0.968053842976001,0.996659536190162,0.932388043874385
"ZNF510",0.999999971638956,0.999992702400591,0.99999957732784,1,0.999640987777804,0.990603523352329,0.999999943562757,0.999504284239529,0.996015724315166,0.999999577268328,0.999999950313576,1,0.999996758512548,0.996492319824834,0.999205947127517,0.999999911106162,1,0.999999017387366,0.995694102768747,0.999045175846398,1,0.999998951799383,0.999999997102076,0.999999998275841,0.979783481191911,0.99758049713478,0.999999429129776,0.999999971768941,0.999999853397185,1,0.999999920485813,0.997600886201264,0.99898852417709,0.99999999999936,1,0.999999999971157,1,0.999883127879541,0.994012132302785,0.999999999998593,0.999997194546299,0.997766408948291,0.997202843311237,0.982275096205868,0.998755290580805,0.999999980720081,1,0.999999530033645,0.999794815831186,0.999587929433183,1,1,0.999999996128369,1,0.999941460352843,0.999999996796106,1,0.999999545911127,0.999986390580689,0.999832948230442,1,1,0.999999994659048,0.999999999996355,0.999997822465363,1,0.999999995835624,0.995775754230959,0.971010646629946,0.999999758497462,0.999999999997828,0.987482383693427,0.985615987510444,0.964101118269405,0.98848941596304,0.999994399135594,0.996860186091747,0.999301519007508
"ZNF506",1,0.999999998468528,0.99999992581209,0.999999949575669,0.998865909921517,0.988466720433476,1,1,0.999999999694801,0.999999852614865,0.999999999977663,0.999999997257257,0.999999999866683,0.948346375167418,0.999999999998496,0.999999879575592,0.999702361259841,0.999999999907112,0.720726110616803,0.999999961973753,0.99944045883919,1,1,0.999999380061391,0.994103469651062,1,0.999999290743834,0.986628122605202,0.999999999991105,0.999999999856873,0.999999999905365,0.985565174750966,0.999999999999616,1,0.999974177229692,0.999999992909875,0.999999760850624,0.999840260974443,0.999999999140034,0.843961762832566,0.999999915794622,0.999931131674793,1,0.997899303204082,0.999986743960811,0.999999846011391,0.999950626729323,0.999999999809057,0.911329607847203,0.999999947075582,0.999990386310299,1,0.99954974732495,0.999997147279129,1,0.999999998440412,0.999999954120993,1,0.993065853624398,0.999999999677283,0.999999999916128,0.999999999986601,0.999999706948409,0.999999999929734,0.999999999803607,0.999999999953429,0.999999531814886,0.999973643310346,0.999999996010439,0.972193412400443,0.999999806483342,0.999996187220745,0.999999999985265,0.999905214334432,0.999997722520131,1,1,0.999999998368728
"ZNF324",0.999463205072828,0.999741703695025,1,0.994752597623576,0.999998748852734,0.999998650743056,0.999768152665056,0.999999999972639,0.999999999879816,1,0.998219837925015,0.9999999999868,0.999999999859396,0.999999597404432,1,0.999899578668316,0.999999780355167,0.999999998512328,0.99758081034544,0.999999951342562,0.998084282623703,0.999278525249971,1,1,0.999984510476739,0.999999999928222,0.999999992805957,0.999991156082707,0.999965400942004,0.999998808385921,0.999999972097375,0.997576346232414,0.999999820615246,0.999217943595649,0.99999999999778,0.999985800888797,0.928992856886443,0.955244939275774,0.978064924163834,0.999544592216913,0.999999627982463,0.85348151913716,0.438629868515364,0.781592290026984,0.589292465477313,0.999948798039315,0.999999978963101,0.999999999632666,0.999712342450162,0.999999963161155,0.999986133133598,1,0.999999893138083,1,0.836470215896596,0.999996400659635,0.999998273791224,0.999999847595543,0.999164638123606,0.999999361459727,0.999907489440076,0.999999999064431,0.99999472635855,0.999999999999094,0.870188250636558,0.999999999941511,0.974688440374713,0.999224784114602,0.99935842642177,0.99999819767998,0.999999980047639,0.999255661058085,0.98017778627879,0.99758545906299,0.979169940785859,1,0.992609737057917,0.988257207740651
